"state","obesity","intersection_density","transit_stops","employment_mix","employment_and_household","walkability_index","walkability_category"
"MO",32.4,10.4065190651907,6.15026650266503,10.9356293562936,11.1328413284133,9.1970069700697,"below average walkable"
"MS",35.6,7.17639593908629,2.13388324873096,9.67322335025381,10.7055837563452,6.49989424703892,"below average walkable"
"MT",23.6,10.0928853754941,4.49802371541502,13.0652173913043,12.5237154150198,9.12845849802371,"below average walkable"
"NC",30.1,7.85686923210865,3.50339543792443,11.0060943757618,11.0137558767195,7.45672993209124,"below average walkable"
"ND",31,9.94196428571429,6.35267857142857,11.5625,12.5982142857143,9.45833333333333,"below average walkable"
"NE",31.4,11.6891304347826,7.02898550724638,10.613768115942,11.0586956521739,9.85144927536232,"below average walkable"
"NH",26.3,7.45078459343795,1.71611982881598,12.8830242510699,12.2139800285307,7.23846885401807,"below average walkable"
"NJ",25.6,11.7666126418152,11.4262560777958,11.2317666126418,11.5737439222042,11.5318746623447,"above average walkable"
"NM",28.8,10.1169675090253,5.87870036101083,10.6490974729242,10.7386281588448,8.89651022864019,"below average walkable"
"NV",26.7,13.6530160486995,10.4764803541782,9.41615938018816,8.67736579966796,11.0587529976019,"above average walkable"
"NY",25,11.8247755472612,12.3227075557349,10.804700897811,10.2064965197216,11.5510272705874,"above average walkable"
"OH",29.8,9.96279991195245,6.49295619634603,9.70272947391591,10.6388950033018,8.87552278230244,"below average walkable"
"OK",33.9,10.3500206868018,5.18783616052958,10.7765825403393,11.0893669838643,8.82361053647773,"below average walkable"
"OR",30.1,11.3458964424093,11.0725607608313,12.4832687566044,11.5988023952096,11.4864975930492,"above average walkable"
"PA",30,11.6856391471776,8.62881562881563,11.1163708086785,11.0632102939795,10.4680817757741,"below average walkable"
"RI",26,13.1643153526971,12.2721991701245,11.5676348547718,11.0406639004149,12.246887966805,"above average walkable"
"SC",31.7,7.80956082394092,3.7085114652157,10.5087446560435,10.9902837155072,7.42252882497733,"below average walkable"
"SD",30.4,9.31264367816092,3.99310344827586,12.1816091954023,12.2942528735632,8.51455938697318,"below average walkable"
"TN",33.8,7.97961689587426,4.70333988212181,9.74729862475442,9.68000982318271,7.46553700065488,"below average walkable"
"TX",32.4,11.3034013605442,6.50387755102041,9.93829931972789,10.3642176870748,9.31951247165533,"below average walkable"
"UT",24.5,11.8277812696417,9.72595851665619,12.4538026398492,12.0892520427404,11.2750890425309,"above average walkable"
"VA",29.2,10.7843167227148,9.72317334148578,10.2344848670131,9.93595230816264,10.1975695505961,"below average walkable"
"VT",25.1,6.67576791808874,8.32081911262799,13.5153583617747,13.1126279863481,9.43686006825939,"below average walkable"
"WA",26.4,11.4757146177086,10.5242853822914,10.3864745526377,9.70741343248896,10.6823146641878,"above average walkable"
"WI",30.7,10.2135761589404,7.1523178807947,10.6937086092715,11.4266004415011,9.47534952170714,"below average walkable"
"WV",35.6,7.90971743625086,1,10.4962095106823,11.1013094417643,6.56949230415805,"below average walkable"
"WY",29,9.5,1.12,12.2033333333333,12.56,7.66722222222222,"below average walkable"
